id,type,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025,drainage
162,agrl1594,fesc_mgt,canp,wwht,pota,wwht,fesc_mgt,canp,wwht,pota,wwht,fesc_mgt,canp,wwht,pota,wwht,fesc_mgt,canp,wwht,pota,wwht,fesc_mgt,canp,wwht,pota,wwht,fesc_mgt,canp,wwht,pota,wwht,fesc_mgt,canp,wwht,pota,wwht,0
163,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
164,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
165,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
166,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
167,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
168,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
169,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
170,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
171,agrl1753,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,0
172,agrl1756,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,trit,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,trit,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,trit,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,trit,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,trit,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,trit,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,trit,0
173,agrl1811,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,fesc_mgt,fesc_mgt,fesc_mgt,oats_cc,fesc_mgt,0
174,agrl1839,fesc_mgt,fesc_mgt,oats_cc,oats_cc,berm,fesc_mgt,fesc_mgt,oats_cc,oats_cc,berm,fesc_mgt,fesc_mgt,oats_cc,oats_cc,berm,fesc_mgt,fesc_mgt,oats_cc,oats_cc,berm,fesc_mgt,fesc_mgt,oats_cc,oats_cc,berm,fesc_mgt,fesc_mgt,oats_cc,oats_cc,berm,fesc_mgt,fesc_mgt,oats_cc,oats_cc,berm,0
175,agrl1906,fesc_mgt,trit,canp,trit,pota,fesc_mgt,trit,canp,trit,pota,fesc_mgt,trit,canp,trit,pota,fesc_mgt,trit,canp,trit,pota,fesc_mgt,trit,canp,trit,pota,fesc_mgt,trit,canp,trit,pota,fesc_mgt,trit,canp,trit,pota,0
176,agrl1912,fesc_mgt,trit,fpea,pota,wwht,fesc_mgt,trit,fpea,pota,wwht,fesc_mgt,trit,fpea,pota,wwht,fesc_mgt,trit,fpea,pota,wwht,fesc_mgt,trit,fpea,pota,wwht,fesc_mgt,trit,fpea,pota,wwht,fesc_mgt,trit,fpea,pota,wwht,0
177,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
178,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
179,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
