date,value
1-29-2007,17
3-20-2007,5.2
5-23-2007,6
7-16-2007,5
9-20-2007,3
11-27-2007,16.6
1-12-2011,16
2-3-2011,8.9
3-30-2011,7.6
5-25-2011,9.3
7-13-2011,11.3
7-27-2011,6.8
10-3-2011,7.1
11-9-2011,9.5
4-8-2019,21
5-27-2019,7.6
6-10-2019,8
8-26-2019,14
9-17-2019,11
10-7-2019,5.6
