hru_id,cha_to_id,cha_from_id,area_ps,vol_ps,area_es,vol_es,k,evap_co,shp_co1,shp_co2,rel,sed,nut
95,5,4,0.3825,0.44982,0.45,0.5292,0,0.6,,,drawdown_days,sedres1,nutres2
"305, 312, 308",4,2,2.04,2.39904,2.4,2.8224,0,0.6,,,drawdown_days,sedres1,nutres2
